"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.313613070E0,2.730000019E-2,-3.309999779E-2,-7.899999619E-3,4.362693959E-2
1.323634945E0,3.669999912E-2,-4.169999808E-2,1.159999985E-2,5.674803761E-2
1.333611507E0,-1.219999976E-2,-4.099999741E-2,1.159999985E-2,4.432154982E-2
1.343611507E0,2.719999850E-2,-2.070000023E-2,1.159999985E-2,3.609556655E-2
1.353613070E0,6.650000066E-2,-2.039999887E-2,1.159999985E-2,7.051928841E-2
1.363611507E0,8.659999818E-2,8.799999952E-3,-7.649999857E-2,1.158846386E-1
1.373634945E0,6.740000099E-2,2.809999883E-2,-1.352999955E-1,1.537480369E-1
1.383611507E0,4.910000041E-2,2.809999883E-2,-1.352999955E-1,1.466509760E-1
1.393614632E0,2.099999972E-2,-1.119999960E-2,-1.351999938E-1,1.372788342E-1
1.403613070E0,4.199999850E-3,-3.099999949E-2,-9.589999914E-2,1.008734346E-1
1.413613070E0,-1.289999951E-2,-1.179999951E-2,-7.609999925E-2,7.808239149E-2
1.423633382E0,-8.499999531E-3,-3.189999983E-2,-7.589999586E-2,8.276877040E-2
1.433613070E0,-5.799999926E-3,-2.229999937E-2,-8.559999615E-2,8.864699268E-2
1.443613070E0,-1.279999968E-2,-2.259999886E-2,-1.149000004E-1,1.177990239E-1
1.453613070E0,-2.300000051E-3,2.649999969E-2,-1.344999969E-1,1.371050296E-1
1.463613070E0,1.609999873E-2,3.680000082E-2,-9.529999644E-2,1.034192407E-1
1.473633382E0,1.439999975E-2,4.690000042E-2,-5.619999766E-2,7.460167404E-2
1.483613070E0,1.139999926E-2,5.649999902E-2,-4.649999738E-2,7.405713759E-2
1.493613070E0,-1.960000023E-2,7.100000046E-3,-4.659999907E-2,5.105026859E-2
1.503613070E0,-1.109999977E-2,-3.199999919E-3,-1.152999997E-1,1.158772623E-1
1.513613070E0,-1.119999960E-2,-2.279999852E-2,-1.054999977E-1,1.085151116E-1
1.523633382E0,9.300000034E-3,-5.109999701E-2,-6.619999558E-2,8.414356250E-2
1.533611507E0,5.900000036E-2,-4.050000012E-2,-6.619999558E-2,9.748686817E-2
1.543614632E0,5.929999799E-2,-2.979999967E-2,-5.629999936E-2,8.702999293E-2
1.553613070E0,2.889999934E-2,-2.939999849E-2,-2.689999901E-2,4.922580440E-2
1.563613070E0,2.599999867E-2,9.399999864E-3,1.200000010E-2,3.013901012E-2
1.573633382E0,2.389999852E-2,1.860000007E-2,1.189999934E-2,3.253889851E-2
1.583614632E0,1.189999934E-2,-1.179999951E-2,1.999999862E-3,1.687749899E-2
1.593614632E0,1.899999916E-3,-2.180000022E-2,1.179999951E-2,2.486141584E-2
1.603611507E0,3.289999813E-2,2.749999985E-2,-7.599999662E-3,4.354790309E-2
1.613613070E0,4.439999908E-2,3.790000081E-2,-2.719999850E-2,6.440194017E-2
1.623631820E0,3.759999946E-2,1.939999871E-2,-3.680000082E-2,5.607459290E-2
1.633613070E0,3.940000013E-2,9.999999776E-3,-4.649999738E-2,6.176252716E-2
1.643613070E0,4.140000045E-2,-1.909999922E-2,-8.559999615E-2,9.698520170E-2
1.653613070E0,3.219999745E-2,-3.879999742E-2,-8.559999615E-2,9.934605667E-2
1.663613070E0,2.239999920E-2,-2.939999849E-2,-7.580000162E-2,8.433125234E-2
1.673633382E0,3.139999881E-2,-2.999999851E-4,-1.052999943E-1,1.098823859E-1
1.683614632E0,5.959999934E-2,-1.030000020E-2,-1.151999980E-1,1.301126030E-1
1.693611507E0,4.849999771E-2,1.950000040E-2,-7.599999756E-2,9.224152764E-2
1.703611507E0,2.719999850E-2,1.099999994E-3,-2.699999884E-2,3.834122919E-2
1.713614632E0,2.649999969E-2,-5.689999834E-2,-2.699999884E-2,6.832905481E-2
1.723633382E0,4.589999840E-2,-4.639999941E-2,-2.699999884E-2,7.063122352E-2
1.733613070E0,6.560000032E-2,-1.709999889E-2,-2.699999884E-2,7.297102125E-2
1.743613070E0,7.609999925E-2,-2.789999917E-2,-2.699999884E-2,8.543195993E-2
1.753613070E0,5.739999935E-2,-1.899999939E-2,-8.579999954E-2,1.049638024E-1
1.763613070E0,5.949999765E-2,-4.019999877E-2,-1.250000000E-1,1.441571699E-1
1.773633382E0,3.099999949E-2,-3.109999932E-2,-1.347000003E-1,1.416767448E-1
1.783613070E0,2.600000007E-3,-1.219999976E-2,-1.347000003E-1,1.352763471E-1
1.793614632E0,-1.659999974E-2,-3.170000017E-2,-9.549999982E-2,1.019838221E-1
1.803611507E0,-3.599999845E-2,-7.039999962E-2,-6.599999964E-2,1.029959212E-1
1.813600570E0,2.699999837E-3,-3.709999844E-2,-3.639999777E-2,5.204478573E-2
1.823631820E0,2.379999869E-2,-1.999999955E-2,-2.679999918E-2,4.104485200E-2
1.833611507E0,4.529999942E-2,-1.399999950E-2,-4.639999941E-2,6.634040909E-2
1.843611507E0,5.729999766E-2,-1.809999906E-2,-3.659999743E-2,7.035950191E-2
1.853611507E0,6.899999827E-2,1.769999973E-2,-3.659999743E-2,8.008651300E-2
1.863611507E0,6.159999967E-2,5.339999869E-2,-4.629999772E-2,9.375398449E-2
1.873631820E0,4.369999841E-2,8.039999753E-2,-7.569999993E-2,1.187616919E-1
1.883611507E0,2.559999935E-2,9.809999913E-2,-9.529999644E-2,1.391440229E-1
1.893613070E0,1.599999890E-2,2.840000018E-2,-6.589999795E-2,7.352121942E-2
1.903613070E0,-4.399999976E-3,-1.399999950E-3,-1.689999923E-2,1.751941705E-2
1.913613070E0,-1.539999992E-2,-2.199999988E-2,1.239999942E-2,2.957904626E-2
1.923633382E0,1.999999862E-3,5.599999800E-3,2.199999988E-2,2.278947108E-2
1.933614632E0,1.099999994E-2,-2.529999986E-2,-1.719999872E-2,3.251045905E-2
1.943611507E0,4.010000080E-2,-1.709999889E-2,-4.659999907E-2,6.381206735E-2
1.953614632E0,4.050000012E-2,2.199999988E-3,-3.680000082E-2,5.476613981E-2
1.963611507E0,2.199999988E-2,3.229999915E-2,2.199999988E-2,4.484740722E-2
1.973634945E0,2.309999987E-2,3.240000084E-2,3.189999983E-2,5.099980429E-2
1.983611507E0,3.480000049E-2,1.139999926E-2,-2.679999918E-2,4.537884940E-2
1.993614632E0,-3.299999982E-3,-1.970000006E-2,-8.559999615E-2,8.789959808E-2
2.003611507E0,-2.499999944E-3,-4.230000079E-2,-9.539999813E-2,1.043872584E-1
2.013613070E0,1.719999872E-2,-1.509999949E-2,-9.549999982E-2,9.820437825E-2
2.023633382E0,8.200000040E-3,-7.999999449E-3,-1.347000003E-1,1.351862791E-1
2.033614632E0,8.700000122E-3,-9.099999443E-3,-1.347000003E-1,1.352870654E-1
2.043613070E0,9.599999525E-3,-9.399999864E-3,-1.247999966E-1,1.255211502E-1
2.053613070E0,2.960000001E-2,6.999999750E-4,-7.580000162E-2,8.137745539E-2
2.063613070E0,5.939999968E-2,2.129999921E-2,-4.629999772E-2,7.826710495E-2
2.073633382E0,5.969999731E-2,-1.759999990E-2,-4.629999772E-2,7.757280106E-2
2.083613070E0,5.069999769E-2,-1.850000024E-2,-7.569999993E-2,9.296897205E-2
2.093613070E0,4.109999910E-2,-9.800000116E-3,-8.549999446E-2,9.537032547E-2
2.103614632E0,3.109999932E-2,1.709999889E-2,-1.052000001E-1,1.110254923E-1
2.113611507E0,-8.299999870E-3,5.699999630E-3,-1.247999966E-1,1.252055077E-1
2.123634945E0,-8.599999361E-3,-5.499999970E-3,-8.559999615E-2,8.620655039E-2
2.133613070E0,-8.399999700E-3,-1.569999941E-2,-6.599999964E-2,6.835970984E-2
2.143614632E0,-7.499999832E-3,4.100000020E-3,-6.599999964E-2,6.655118294E-2
2.153611507E0,-1.649999991E-2,4.399999976E-3,-8.549999446E-2,8.718864060E-2
2.163611507E0,-5.899999756E-3,-4.900000058E-3,-1.442999989E-1,1.445036666E-1
2.173634945E0,-3.549999744E-2,-1.439999975E-2,-1.835999936E-1,1.875541721E-1
2.183613070E0,-1.759999990E-2,-4.259999841E-2,-1.247999966E-1,1.330396896E-1
2.193613070E0,1.979999989E-2,-5.150000006E-2,-6.599999964E-2,8.602493798E-2
2.203613070E0,2.709999867E-2,-5.029999837E-2,-1.709999889E-2,5.963983338E-2
2.213614632E0,4.529999942E-2,-3.009999916E-2,1.219999976E-2,5.573993085E-2
2.223631820E0,9.290000051E-2,9.200000204E-3,1.209999993E-2,9.413532864E-2
2.233611507E0,6.300000101E-2,3.830000013E-2,-1.719999872E-2,7.570819040E-2
2.243611507E0,1.118999943E-1,7.679999620E-2,-1.349000037E-1,1.913579346E-1
2.253611507E0,1.018999964E-1,6.729999930E-2,-7.609999925E-2,1.438892250E-1
2.263614632E0,6.300000101E-2,8.799999952E-3,-1.719999872E-2,6.589597926E-2
2.273633382E0,2.449999936E-2,-3.089999966E-2,-4.659999907E-2,6.104604706E-2
2.283614632E0,-6.239999831E-2,-7.229999453E-2,-1.053999960E-1,1.422329363E-1
2.293613070E0,-6.179999933E-2,-5.439999700E-2,-1.053999960E-1,1.337451261E-1
2.303613070E0,-3.240000084E-2,-2.699999884E-2,-1.152999997E-1,1.227715355E-1
2.313613070E0,-3.499999875E-3,-7.799999788E-3,-1.251000017E-1,1.253917877E-1
2.323633382E0,1.420000009E-2,-4.649999738E-2,-1.741999984E-1,1.808577596E-1
2.333613070E0,2.180000022E-2,1.359999925E-2,-1.252999902E-1,1.279073396E-1
2.343613070E0,4.629999772E-2,5.590000004E-2,-6.659999490E-2,9.850918289E-2
2.353613070E0,6.219999865E-2,3.839999810E-2,-4.719999805E-2,8.701286975E-2
2.363613070E0,6.689999998E-2,1.899999916E-3,-8.100000210E-3,6.741535433E-2
2.373634945E0,5.409999937E-2,-1.620000042E-2,3.089999966E-2,6.437437320E-2
2.383611507E0,6.109999865E-2,-2.410000004E-2,5.040000007E-2,8.278997430E-2
2.393614632E0,2.149999887E-2,-5.249999836E-2,1.119999960E-2,5.782680840E-2
2.403611507E0,-6.799999624E-3,-3.139999881E-2,1.119999960E-2,3.402410780E-2
2.413611507E0,3.280000016E-2,-1.099999994E-3,-8.200000040E-3,3.382735596E-2
2.423633382E0,5.279999971E-2,9.499999695E-3,-8.200000040E-3,5.427089427E-2
2.433614632E0,4.309999943E-2,-9.800000116E-3,-3.759999946E-2,5.802938835E-2
2.443611507E0,4.360000044E-2,9.800000116E-3,-3.759999946E-2,5.840171230E-2
2.453611507E0,2.459999919E-2,-9.999999747E-5,-3.759999946E-2,4.493250404E-2
2.463613070E0,6.300000008E-3,-1.049999986E-2,-8.100000210E-3,1.468162118E-2
2.473633382E0,-1.239999942E-2,2.819999866E-2,1.599999960E-3,3.084736472E-2
2.483613070E0,-2.070000023E-2,3.739999980E-2,-1.779999956E-2,4.630431922E-2
2.493616195E0,-5.889999866E-2,2.719999850E-2,-6.679999828E-2,9.311975908E-2
2.503611507E0,-5.749999732E-2,-2.219999954E-2,-9.619999677E-2,1.142520418E-1
2.513611507E0,-7.499999832E-3,-7.129999995E-2,-1.058999971E-1,1.278856887E-1
2.523633382E0,4.309999943E-2,-2.239999920E-2,-9.600000083E-2,1.075888938E-1
2.533613070E0,5.409999937E-2,4.600000009E-2,-8.619999886E-2,1.116837040E-1
2.543614632E0,5.559999868E-2,5.489999801E-2,-9.589999914E-2,1.237019784E-1
2.553611507E0,5.629999936E-2,2.469999902E-2,-1.154999956E-1,1.308435282E-1
2.563613070E0,4.619999975E-2,3.899999894E-3,-1.253999919E-1,1.336967013E-1
2.573633382E0,3.519999981E-2,-2.569999918E-2,-9.600000083E-2,1.054302144E-1
2.583613070E0,4.250000045E-2,-5.529999733E-2,-4.710000008E-2,8.415907408E-2
2.593613070E0,5.040000007E-2,-5.509999767E-2,-7.999999449E-3,7.510106351E-2
2.603613070E0,5.819999799E-2,-4.479999840E-2,-7.999999449E-3,7.388017064E-2
2.613614632E0,7.739999890E-2,-3.429999948E-2,1.150000002E-2,8.543711017E-2
2.623634945E0,6.859999895E-2,-2.319999970E-2,3.109999932E-2,7.881249774E-2
2.633613070E0,8.929999918E-2,-2.290000021E-2,2.139999904E-2,9.464068798E-2
2.643613070E0,1.011999995E-1,-1.420000009E-2,-2.749999985E-2,1.058268864E-1
2.653614632E0,6.289999932E-2,-5.799999926E-3,-6.669999659E-2,9.186370044E-2
2.663613070E0,4.380000010E-2,-8.599999361E-3,-8.630000055E-2,9.716012604E-2
2.673633382E0,1.429999992E-2,-4.999999655E-4,-1.058999971E-1,1.068622916E-1
2.683613070E0,4.100000020E-3,-3.170000017E-2,-1.158000007E-1,1.201305131E-1
2.693614632E0,-5.899999756E-3,-2.209999971E-2,-9.619999677E-2,9.888204773E-2
2.703611507E0,4.279999807E-2,-1.169999968E-2,-6.679999828E-2,8.019332640E-2
2.713611507E0,3.280000016E-2,-1.300000004E-3,-7.899999619E-3,3.376299756E-2
2.723620882E0,3.269999847E-2,8.999999613E-3,1.159999985E-2,3.584480282E-2
2.733613070E0,2.869999968E-2,6.000000052E-3,1.090000011E-2,3.128098439E-2
2.743611507E0,3.070000000E-2,5.499999970E-3,-5.759999901E-2,6.550190750E-2
2.753613070E0,1.299999934E-2,-4.389999807E-2,-1.064999998E-1,1.159243709E-1
2.763613070E0,4.999999888E-3,-3.449999914E-2,-1.063999981E-1,1.119652157E-1
2.773619320E0,-1.129999943E-2,-1.239999942E-2,-8.659999818E-2,8.821003150E-2
